tweet_id,user_id,createdate,tweet,scrapping_id,scrappingid,user_id,createdate
1.33109E+18,7.85872E+17,11/24/2020 4:38,"    Ini unit link, tergantung saham. Prudential kan asliny jualan perlindu… ",2,3,7.85872E+17,11/24/2020 4:38
1.33109E+18,1968489194,11/24/2020 4:20,"   Beneran PRUDENTIAL ya, sy tny ke orangnya agennya langsung knp malah bilang lg me… ",2,3,1968489194,11/24/2020 4:20
1.33102E+18,1.22604E+18,11/23/2020 23:35,   Masaka saudara  tidak tahu kalau AXA Mandiri dan Prudential juga viral banyak nasabah jadi korban.,2,3,1.22604E+18,11/23/2020 23:35
1.3308E+18,86508852,11/23/2020 9:10,"  _Indonesia Temenku udah positif test swab di lab swasta (bayar sendiri), pas ke IGD kena 8jt.… ",2,3,86508852,11/23/2020 9:10
1.33128E+18,1.09781E+18,11/24/2020 16:53,  _nrzln Salam semua. Saya Hatim dari Prudential BSN Takaful 😊Kalau sedang mencari plan pe… ,2,3,1.09781E+18,11/24/2020 16:53
1.33119E+18,351190206,11/24/2020 10:39,  Da lama da under prudential. Sejak awal keje. Dlu bawah ejen lain.,2,3,351190206,11/24/2020 10:39
1.3311E+18,1.20418E+18,11/24/2020 4:44,  Nanti gw mau ngebase pake tagline nya prudential ahh wkwk,2,3,1.20418E+18,11/24/2020 4:44
1.33123E+18,1518767318,11/24/2020 13:26,  Prudential baru bayar 30M agustus kmren.,2,3,1518767318,11/24/2020 13:26
1.33086E+18,1.1182E+18,11/23/2020 13:23," _ Sampean pengen seng gemati mas? Asuransi prudential kae ono,  kan muni ""always listening a… ",2,3,1.1182E+18,11/23/2020 13:23
1.33091E+18,1.16338E+18,11/23/2020 16:30," _Josh257 Nga wano we yafuna deal ya prudential twagimanyirawo, Kati olwo his life?",2,3,1.16338E+18,11/23/2020 16:30
1.33079E+18,1.27317E+18,11/23/2020 8:10, Aku adalah Prudential(?),2,3,1.27317E+18,11/23/2020 8:10
1.33113E+18,3253475570,11/24/2020 7:04," Assalamualaikum, maaf menyelit🙏🏻 Saya amira dari prudential takaful bsn, kami sedang membuat recruitm… ",2,3,3253475570,11/24/2020 7:04
1.33103E+18,1.11295E+18,11/24/2020 0:05, Asuransi apa bang..soalnya saya ada asurasi prudential ?,2,3,1.11295E+18,11/24/2020 0:05
1.3312E+18,1.12518E+18,11/24/2020 11:45, aw km seperti prudential,2,3,1.12518E+18,11/24/2020 11:45
1.33101E+18,1.18633E+18,11/23/2020 22:57, Goyang? Digoyang mas... Semongko! 😁Kasih inisial dong... aku ada 2 asuransi axa dan prudential. Bkn itu kan?,2,3,1.18633E+18,11/23/2020 22:57
1.33124E+18,7.78448E+17,11/24/2020 14:10," Hi kak, aku adalah agent asuransi Prudential. Apakah mama kakak sudah berusia 65 tahun? Kalau belum masi… ",2,3,7.78448E+17,11/24/2020 14:10
1.33105E+18,7.98664E+17,11/24/2020 1:31, Hi kakk. If nak tahu plan takaful under prudential boleh dm saya 🥰,2,3,7.98664E+17,11/24/2020 1:31
1.33123E+18,1.07231E+18,11/24/2020 13:20, ️️️️ ️️️️️️ ️️️️️️ ️️️️️️ ️️️️️️ ️️️️️️ ️️️️️️ ️️️️️️ ️️Iya asuransi tapi aku bukan Prudential!️️️️… ,2,3,1.07231E+18,11/24/2020 13:20
1.33093E+18,1.32719E+18,11/23/2020 17:35, 'I'm lovin it' yg diinget cuma prudential akumah :),2,3,1.32719E+18,11/23/2020 17:35
1.33119E+18,1.21691E+18,11/24/2020 11:10," Iya juga anjir ntar di akhir tinggal dikasi tulisan ""prudential""",2,3,1.21691E+18,11/24/2020 11:10
1.33126E+18,1.30497E+18,11/24/2020 15:35," Kakak adalah tipe pacar yang seperti Prudential. Always listening, always understanding. Kakak juga buc… ",2,3,1.30497E+18,11/24/2020 15:35
1.33108E+18,151417192,11/24/2020 3:48," Kalau dari awal sudah fokusnya proteksi, tidak apa apa kak, dilanjutkan saja.. selama sesuai ketentuan p… ",2,3,151417192,11/24/2020 3:48
1.33118E+18,293840520,11/24/2020 9:57," Luas banget tuh yg kya gmn ary..... seluas cinta aku ke cowok2 kipop aku atau gmn,,, EHEHE.. fufufuf… ",2,3,293840520,11/24/2020 9:57
1.33054E+18,1.32495E+18,11/22/2020 15:49, Masukin prudential biar asuransi jiwa kamu terjaga maniez.. Yuk yg mau join DM,2,3,1.32495E+18,11/22/2020 15:49
